"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","ONEPLUS A6010"
"deviceBrand","OnePlus"
"deviceBoard","sdm845"
"deviceManufacturer","OnePlus"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","11"
"accelerometer Name","lsm6ds3c Accelerometer Non-wakeup"
"accelerometer Vendor","STMicro"
"accelerometer Range","78.45318"
"accelerometer Resolution","0.0023928226"
"accelerometer MinDelay","2404"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.15"
"accelerometer Version","352"
"linear_acceleration Name","linear_acceleration"
"linear_acceleration Vendor","qualcomm"
"linear_acceleration Range","156.98999"
"linear_acceleration Resolution","0.01"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","0.515"
"linear_acceleration Version","1"
"gyroscope Name","lsm6ds3c Gyroscope Non-wakeup"
"gyroscope Vendor","STMicro"
"gyroscope Range","34.90549"
"gyroscope Resolution","0.0012216945"
"gyroscope MinDelay","2404"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.555"
"gyroscope Version","352"
"magnetic_field Name","ak0991x Magnetometer Non-wakeup"
"magnetic_field Vendor","akm"
"magnetic_field Range","4911.994"
"magnetic_field Resolution","0.15"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","1.1"
"magnetic_field Version","10063"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","TMD3702_Light Ambient Light Sensor Non-wakeup"
"light Vendor","ams AG"
"light Range","1.0"
"light Resolution","0.01"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.08"
"light Version","256"
"proximity Name","TMD3702_Proximity Proximity Sensor Wakeup"
"proximity Vendor","ams AG"
"proximity Range","5.0"
"proximity Resolution","0.01"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","1.0"
"proximity Version","256"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector  Non-wakeup"
"attitude Vendor","qualcomm"
"attitude Range","1.0"
"attitude Resolution","0.01"
"attitude MinDelay","5000"
"attitude MaxDelay","200000"
"attitude Power","1.415"
"attitude Version","1"
